Date,App_Name,Category,Minutes_Used
2026-08-01,Instagram,Social Media,55
2026-08-01,YouTube,Entertainment,70
2026-08-01,VS Code,Coding,120
2026-08-01,Google Classroom,Education,45
2026-08-01,WhatsApp,Social Media,35
2026-08-02,Instagram,Social Media,75
2026-08-02,YouTube,Entertainment,85
2026-08-02,VS Code,Coding,135
2026-08-02,LeetCode,Education,50
2026-08-02,WhatsApp,Social Media,40
2026-08-03,Instagram,Social Media,45
2026-08-03,Netflix,Entertainment,110
2026-08-03,VS Code,Coding,100
2026-08-03,LeetCode,Education,65
2026-08-03,WhatsApp,Social Media,30
2026-08-04,Instagram,Social Media,90
2026-08-04,YouTube,Entertainment,120
2026-08-04,VS Code,Coding,80
2026-08-04,Google Classroom,Education,55
2026-08-04,WhatsApp,Social Media,45
2026-08-05,Instagram,Social Media,40
2026-08-05,YouTube,Entertainment,60
2026-08-05,VS Code,Coding,150
2026-08-05,LeetCode,Education,80
2026-08-05,WhatsApp,Social Media,25
2026-08-06,Instagram,Social Media,100
2026-08-06,Netflix,Entertainment,95
2026-08-06,VS Code,Coding,90
2026-08-06,LeetCode,Education,40
2026-08-06,WhatsApp,Social Media,50
2026-08-07,Instagram,Social Media,65
2026-08-07,YouTube,Entertainment,75
2026-08-07,VS Code,Coding,125
2026-08-07,Google Classroom,Education,70
2026-08-07,WhatsApp,Social Media,35
2026-08-08,Instagram,Social Media,120
2026-08-08,YouTube,Entertainment,130
2026-08-08,VS Code,Coding,70
2026-08-08,LeetCode,Education,35
2026-08-08,WhatsApp,Social Media,60
2026-08-09,Instagram,Social Media,50
2026-08-09,Netflix,Entertainment,100
2026-08-09,VS Code,Coding,140
2026-08-09,Google Classroom,Education,60
2026-08-09,WhatsApp,Social Media,30
2026-08-10,Instagram,Social Media,80
2026-08-10,YouTube,Entertainment,90
2026-08-10,VS Code,Coding,130
2026-08-10,LeetCode,Education,75
2026-08-10,WhatsApp,Social Media,40
2026-08-11,Instagram,Social Media,95
2026-08-11,Netflix,Entertainment,80
2026-08-11,VS Code,Coding,105
2026-08-11,Google Classroom,Education,50
2026-08-11,WhatsApp,Social Media,45
2026-08-12,Instagram,Social Media,35
2026-08-12,YouTube,Entertainment,55
2026-08-12,VS Code,Coding,160
2026-08-12,LeetCode,Education,85
2026-08-12,WhatsApp,Social Media,25
2026-08-13,Instagram,Social Media,110
2026-08-13,YouTube,Entertainment,115
2026-08-13,VS Code,Coding,95
2026-08-13,Google Classroom,Education,40
2026-08-13,WhatsApp,Social Media,55
2026-08-14,Instagram,Social Media,60
2026-08-14,Netflix,Entertainment,90
2026-08-14,VS Code,Coding,145
2026-08-14,LeetCode,Education,70
2026-08-14,WhatsApp,Social Media,30
